,FACILITY_NAME,FAC_FDR,DISTRICT_OFFICE,PENALTY_ISSUE_DATE,PENALTY_NUMBER,DISPOSITION,PENALTY_DETAIL,PENALTY_CATEGORY,APPEALED,CLASS_ASSESSED_INITIAL,CLASS_ASSESSED_FINAL,TOTAL_AMOUNT_INITIAL,TOTAL_AMOUNT_DUE_FINAL
0,STANFORD HEALTH CARE - VALLEYCARE,GENERAL ACUTE CARE HOSPITAL,East Bay,2007-08-22,20004196,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE12 - Medication error,Yes,AP IJ,,25000.0,25000.0
1,WASHINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2007-11-06,20004353,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE12 - Medication error,No,AP IJ,,25000.0,25000.0
2,EDEN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-01-10,20004575,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
3,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-02-20,20004706,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,Yes,FTR AE,,2800.0,2800.0
4,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-02-25,20004711,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,Yes,FTR AE,,700.0,700.0
5,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-04,20004729,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,600.0,600.0
6,ST ROSE HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-10,20004758,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,2100.0,2100.0
7,ALTA BATES SUMMIT MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-10,20004764,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,3300.0,3300.0
8,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-10,20004776,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,4000.0,4000.0
9,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-13,20004785,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,Yes,FTR AE,,700.0,700.0
