word,frequency
00,2247
000,773
0000,2
000013,1
000030,4
0000_midnight,2
000426,1
00047648,1
0008862,1
0009374,1
0009715,6
000_cc,2
000_cfu,4
000_citation,2
000_colony,17
000_colony_ml,5
000_exceed,4
000_hold,1
000_mg,5
000_mg_daily,2
000_provide,2
000_unit,6
000_unit_day,1
000_wbcs,3
0010274,1
0011322,1
0012818,1
0012819,1
0012861,3
0012861_serve,3
0012861_serve_facility,1
0013120,1
002,1
002341,1
0025,1
002632,1
00284984,1
00290641,1
0030,3
00300289,1
0030_hour,2
003147,1
003215,1
003643,1
00368604,1
00382431,1
004,2
00407089,1
00407552,1
00462040,1
0047,1
00488228,1
00491420,1
004_w,2
0050,2
00500840,1
00501186,1
00501384,1
00501613,1
00506149,1
0050_hour,2
00511997,1
00515040,1
00531444,1
00531944,1
00534476,1
00658105,1
008,5
008_w,5
00_2,6
00_4,4
00_6,54
00_7,4
00_8,2
00_9,4
00_a,328
00_accord,2
00_apply,48
00_atm,6
00_balance,1
00_check,1
00_cm,3
00_date,2
00_midnight,1
00_noon,3
00_p,461
00_pm,237
00_pm_11,2
00_pm_7,3
00_pm_administrator,4
00_re,2
00_score,2
00_state,2
00_tylenol,2
00_unannounced,4
00_unannounced_visit,5
00a,3
00am,3
00p,2
00pm,2
01,232
0100,7
0100_0200,2
0100_0200_hour,2
0100_hour,1
0105,1
012,2
0120,1
0123,1
013,1
0130,1
014,2
0140,1
015,1
017812s028,2
018421s027lbl,2
0197,1
01_a,20
01_document,3
01_p,30
01_pm,5
01patients,1
02,313
0200,5
0200_hour,2
020639s061lbl,2
0210,6
0210_hour,5
0215,1
022,1
0220,2
0220_hour,2
0225,2
0230,1
0238,2
0238_hour,2
0240,1
0255,1
027,1
02_05,2
02_a,31
02_abuse,2
02_abuse_neglect,2
02_p,26
02_pm,9
02fc,1
03,216
0300,11
0300_0340,5
0300_0340_hour,5
0300_hour,3
0310,1
0315,1
0317,1
0320,2
0320_hour,2
